"id","auteur","date","titre"
dumas_divers-contes,"Dumas, Alexandre",1873,Divers contes
dumas_trois-maitres,"Dumas, Alexandre",1873,Trois maîtres
dumas_impressions-voyage-en-suisse,"Dumas, Alexandre",1833,Impressions de voyage en Suisse
dumas_capitaine-paul,"Dumas, Alexandre",1838,Le Capitaine Paul
dumas_othon-archer,"Dumas, Alexandre",1838,Othon l’Archer
dumas_acte,"Dumas, Alexandre",1839,Acté
dumas_aventures-de-lyderic,"Dumas, Alexandre",1839,Aventures de Lyderic
dumas_aventures-de-john-davys,"Dumas, Alexandre",1839,Les aventures de John Davys
dumas_pamphile,"Dumas, Alexandre",1840,Le Capitaine Pamphile
dumas_maitre-armes,"Dumas, Alexandre",1841,Le maître d’armes
dumas_chevalier-harmental,"Dumas, Alexandre",1842,Le Chevalier d’Harmental
dumas_georges,"Dumas, Alexandre",1843,Georges
dumas_fernande,"Dumas, Alexandre",1844,Fernande
dumas_trois-mousquetaires,"Dumas, Alexandre",1844,Les Trois Mousquetaires
dumas_une-fille-du-regent,"Dumas, Alexandre",1844,Une fille du Régent
dumas_casse-noisette,"Dumas, Alexandre",1845,Histoire d’un Casse-noisette
dumas_reine-margot,"Dumas, Alexandre",1845,La Reine Margot
dumas_chevalier-maison-rouge,"Dumas, Alexandre",1845,Le Chevalier de Maison-Rouge
dumas_monte-cristo,"Dumas, Alexandre",1845,Le Comte de Monte-Cristo
dumas_freres-corses,"Dumas, Alexandre",1845,Les frères Corses 
dumas_vingt-ans-apres,"Dumas, Alexandre",1845,Vingt ans après
dumas_joseph-balsamo,"Dumas, Alexandre",1846,Joseph Balsamo. Mémoires d’un médecin
dumas_dame-de-monsoreau,"Dumas, Alexandre",1846,La Dame de Monsoreau
dumas_quarante-cinq,"Dumas, Alexandre",1847,Les Quarante-cinq
dumas_vicomte-de-bragelonne,"Dumas, Alexandre",1848,Le Vicomte de Bragelonne
dumas_collier-reine,"Dumas, Alexandre",1849,Le Collier de la reine
dumas_tulipe-noire,"Dumas, Alexandre",1850,La Tulipe noire
dumas_ange-pitou,"Dumas, Alexandre",1851,Ange Pitou
dumas_comtesse-charny,"Dumas, Alexandre",1852,La comtesse de Charny
dumas_jeunesse-de-pierrot,"Dumas, Alexandre",1853,La jeunesse de Pierrot
dumas_catherine-blum,"Dumas, Alexandre",1854,Catherine Blum
dumas_marie-dorval,"Dumas, Alexandre",1855,La dernière année de Marie Dorval
dumas_meneur-de-loup,"Dumas, Alexandre",1857,Le meneur de loups
dumas_compagnons-jehu,"Dumas, Alexandre",1857,Les Compagnons de Jéhu
dumas_fils-du-forcat,"Dumas, Alexandre",1859,Le fils du forçat
dumas_louves-machecoul,"Dumas, Alexandre",1859,Les Louves de Machecoul
dumas_princesse-flora,"Dumas, Alexandre",1862,La princesse Flora
dumas_san-felice,"Dumas, Alexandre",1864,La San Felice
dumas_comte-de-moret,"Dumas, Alexandre",1865,Le Comte de Moret
dumas_les-blancs-et-les-bleus,"Dumas, Alexandre",1867,Les Blancs et les Bleus
dumas_robin-hood_prince-des-voleurs,"Dumas, Alexandre",1872,Robin Hood, le prince des voleurs [I]
dumas_robin-hood_proscrit,"Dumas, Alexandre",1873,Robin Hood, le proscrit
